Date,Price,Open,High,Low,Vol.,Change %
8/1/2020,10728.8,10751.7,10820.3,10591.6,13.52,-1.06%
7/1/2020,10843.2,11026.2,11071.9,10797.4,10.26,-1.25%
6/1/2020,10980.4,10980.4,11094.8,10911.8,11.31,-0.62%
3/1/2020,11049.1,11071.9,11140.6,11003.3,16.49,0.63%
2/1/2020,10980.4,10751.7,10980.4,10683.1,8.91,2.13%
31/12/2019,10751.7,10820.3,10843.2,10683.1,6.06,-0.63%
30/12/2019,10820.3,10820.3,10911.8,10751.7,6.19,0.42%
27/12/2019,10774.6,10522.9,10774.6,10454.3,8.81,2.39%
26/12/2019,10522.9,10660.2,10660.2,10522.9,6.33,-0.65%
25/12/2019,10591.6,10614.4,10705.9,10591.6,5.01,-0.21%
24/12/2019,10614.4,10545.8,10660.2,10500,6.78,0.65%
23/12/2019,10545.8,10591.6,10751.7,10500,8.44,0.22%
20/12/2019,10522.9,10500,10637.3,10431.4,11.4,0.88%
19/12/2019,10431.4,10317,10568.7,10317,12.12,1.11%
18/12/2019,10317,10591.6,10591.6,10294.2,15.98,-2.59%
17/12/2019,10591.6,10866.1,10911.8,10477.2,20.78,-2.53%
16/12/2019,10866.1,10888.9,10934.7,10774.6,10.78,-0.21%
13/12/2019,10888.9,11071.9,11209.2,10888.9,19.96,-1.65%
12/12/2019,11071.9,11117.7,11163.4,11026.2,8.74,-0.82%
11/12/2019,11163.4,11117.7,11163.4,10934.7,11.38,0.00%
10/12/2019,11163.4,11071.9,11232.1,11026.2,21.4,0.83%
9/12/2019,11071.9,10911.8,11186.3,10911.8,16.64,1.47%
6/12/2019,10911.8,10568.7,10934.7,10568.7,15.01,3.25%
5/12/2019,10568.7,10683.1,10728.8,10545.8,10.91,-1.49%
4/12/2019,10728.8,10705.9,10797.4,10683.1,10.35,0.00%
3/12/2019,10728.8,10500,10843.2,10385.7,19.65,2.18%
2/12/2019,10500,10454.3,10614.4,10454.3,19.16,0.44%
29/11/2019,10454.3,10339.9,10500,10271.3,13.35,1.11%
28/11/2019,10339.9,10339.9,10385.7,10271.3,7.91,0.00%
27/11/2019,10339.9,10408.5,10431.4,10317,7.42,-0.22%
26/11/2019,10362.8,10225.5,10431.4,10225.5,11.56,1.80%
25/11/2019,10179.8,10134,10225.5,10065.4,8.92,0.68%
22/11/2019,10111.2,10156.9,10225.5,10065.4,12.14,0.46%
21/11/2019,10065.4,10202.7,10225.5,10065.4,15.8,-1.79%
20/11/2019,10248.4,10431.4,10431.4,10179.8,14.66,-1.75%
19/11/2019,10431.4,10500,10500,10385.7,8.78,-0.44%
18/11/2019,10477.2,10385.7,10522.9,10385.7,8.08,1.10%
15/11/2019,10362.8,10362.8,10431.4,10317,7.23,0.00%
14/11/2019,10362.8,10362.8,10454.3,10294.2,11.64,0.00%
13/11/2019,10362.8,10568.7,10591.6,10362.8,13.72,-1.52%
12/11/2019,10522.9,10408.5,10568.7,10317,13.8,0.88%
